0	20000000	0.13
1	20000001	0.12000000000000001
10	20000008	0.02
10	20000009	0.06
10	20000010	0.06
10	20000013	0.02
100	20000085	0.05
100	20000098	0.02
100	20000105	0.02
100	20000117	0.04
100	20000135	0.02
1000	20000774	0.02
1000	20001030	0.12
1000	20001058	0.02
1000	20001087	0.02
1000	20001117	0.02
1000	20001196	0.04
10000	20009008	0.02
10000	20009223	0.11
10000	20009480	0.02
10000	20009993	0.02
10000	20010088	0.15
10000	20010089	0.02
10000	20010090	0.02
10000	20010219	0.02
10000	20011125	0.04
100000	20092607	0.03
100000	20094512	0.02
100000	20094742	0.02
100000	20095778	0.02
100000	20097077	0.02
100000	20106516	0.02
1000000	20894273	0.02
1000000	20894773	0.02
1000000	20920056	0.02
1000000	20925795	0.02
1000000	20927364	0.06
1000000	20989934	0.08
1000001	20627905	0.02
1000001	20894775	0.02
1000001	20894776	0.02
1000001	20920056	0.26
1000001	20920057	0.04
1000001	20922526	0.03
1000001	20927365	0.02
1000001	20927366	0.02
1000001	20962713	0.02
1000002	20894735	0.02
1000002	20894777	0.02
1000002	20920056	0.14
1000002	20920057	0.04
1000002	20922526	0.21
1000002	20925792	0.02
1000002	20925794	0.02
1000002	20927367	0.02
1000002	20989935	0.02
1000003	20627905	0.03
1000003	20894736	0.02
1000003	20894776	0.04
1000003	20920056	0.05
1000003	20922526	0.44
1000003	20925793	0.03
1000003	20925794	0.06
1000003	20925796	0.08
1000003	20927368	0.02
1000003	20927369	0.02
1000003	20989936	0.02
1000004	20413837	0.15
1000004	20627905	0.23
1000004	20893924	0.02
1000004	20894778	0.03
1000004	20920056	0.27
1000004	20920058	0.02
1000004	20925797	0.02
1000004	20927370	0.04
1000004	20989937	0.02
1000005	20894737	0.03
1000005	20894779	0.04
1000005	20920056	0.02
1000005	20925798	0.02
1000005	20927371	0.02
1000005	20962711	0.03
1000005	20989938	0.04
1000006	20894738	0.02
1000006	20894739	0.02
1000006	20894780	0.02
1000006	20920056	0.02
1000006	20925799	0.02
1000006	20927372	0.02
1000006	20989939	0.03
1000007	20893657	0.02
1000007	20893924	0.02
1000007	20894781	0.02
1000007	20894782	0.02
1000007	20920056	0.25
1000007	20920057	0.04
1000007	20920059	0.03
1000007	20925800	0.02
1000007	20927372	0.02
1000007	20989940	0.02
1000008	20627905	0.07
1000008	20893657	0.15
1000008	20893924	0.02
1000008	20894736	0.27
1000008	20894740	0.1
1000008	20894783	0.02
1000008	20920060	0.02
1000008	20925801	0.02
1000008	20925802	0.02
1000008	20927373	0.02
1000008	20989941	0.02
1000008	20989942	0.02
1000009	20894736	0.02
1000009	20894741	0.02
1000009	20894784	0.03
1000009	20920061	0.02
1000009	20920062	0.08
1000009	20925803	0.04
1000009	20927374	0.03
1000009	20989943	0.02
100001	20092608	0.02
100001	20094511	0.08
100001	20094743	0.03
100001	20095779	0.02
100001	20098721	0.02
100001	20106517	0.03
1000010	20893943	0.03
1000010	20894784	0.5
1000010	20894785	0.13
1000010	20920063	0.02
1000010	20925804	0.02
1000010	20927375	0.02
1000010	20989944	0.02
1000011	20894742	0.04
1000011	20894784	0.02
1000011	20920064	0.02
1000011	20925805	0.06
1000011	20927376	0.03
1000011	20989945	0.02
1000012	20876251	0.03
1000012	20894743	0.02
1000012	20894786	0.08
1000012	20925806	0.02
1000012	20927377	0.02
1000012	20989946	0.02
1000013	20392967	0.02
1000013	20876251	0.02
1000013	20893541	0.05
1000013	20893653	0.12
1000013	20894744	0.02
1000013	20894745	0.02
